device,app_version,device_id,os_version,page,tag,op,udid,stamp
ios,1.1.3,6b5e85222d2dca16c02a0fa5bc103c178e286fa5,11.4,tr_translate_dialog,action_created_dialog,click,5024040460087211,2018-06-03 09:35:02
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:35:03
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_A,auto,5024040460154861,2018-06-03 09:35:05
ios,1.1.2,840308a2ba7422bdf489534e95188ab0b302f55a,11.2.1,tr_ble,ble_data_download,auto,5024040460065711,2018-06-03 09:35:06
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:35:07
android,1.0.7,84cbea53fdf5a86d,26,tr_home,click_record_item,click,,2018-06-03 09:35:07
ios,1.1.3,6b5e85222d2dca16c02a0fa5bc103c178e286fa5,11.4,tr_translate_dialog,trpen_start_dialog_A,auto,5024040460087211,2018-06-03 09:35:08
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:35:09
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_A,auto,5024040460154861,2018-06-03 09:35:11
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:35:12
ios,1.1.2,5b5acd543decdb0f256e3e3ff8d31ecd325e04e1,11.3,tr_home,click_record_item,click,5024040460074371,2018-06-03 09:35:13
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:35:13
android,1.0.8,daaaa835de54b24e,25,tr_sync_translate,action_end_synctranslate,auto,5024040460160711,2018-06-03 09:35:14
android,1.0.8,daaaa835de54b24e,25,tr_BLE,ble_data_download,auto,5024040460160711,2018-06-03 09:35:14
android,1.0.8,daaaa835de54b24e,25,tr_sync_translate,synctranalate_duration,auto,5024040460160711,2018-06-03 09:35:14
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_A,auto,5024040460154861,2018-06-03 09:35:16
android,1.0.8,daaaa835de54b24e,25,tr_home,show_OTA_upgrade_tip,auto,5024040460160711,2018-06-03 09:35:17
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:35:18
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:35:20
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:35:21
android,1.0.8,daaaa835de54b24e,25,tr_home,click_shorthand,click,5024040460160711,2018-06-03 09:35:22
ios,1.1.3,6b5e85222d2dca16c02a0fa5bc103c178e286fa5,11.4,tr_ble,ble_data_download,auto,5024040460087211,2018-06-03 09:35:22
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:35:23
android,1.0.8,daaaa835de54b24e,25,tr_home,show_OTA_upgrade_tip,auto,5024040460160711,2018-06-03 09:35:23
android,1.0.8,daaaa835de54b24e,25,tr_shorthand,start_online_shorthand,auto,5024040460160711,2018-06-03 09:35:23
ios,1.1.3,6b5e85222d2dca16c02a0fa5bc103c178e286fa5,11.4,tr_translate_dialog,action_created_dialog,click,5024040460087211,2018-06-03 09:35:24
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:35:24
ios,1.1.2,5b5acd543decdb0f256e3e3ff8d31ecd325e04e1,11.3,tr_edit_shorthand,click_play_button,click,5024040460074371,2018-06-03 09:35:25
android,1.0.8,daaaa835de54b24e,25,tr_shorthand,click_pause_record_button,click,5024040460160711,2018-06-03 09:35:26
android,1.0.8,daaaa835de54b24e,25,tr_BLE,ble_data_download,auto,5024040460160711,2018-06-03 09:35:26
android,1.0.8,daaaa835de54b24e,25,tr_shorthand,click_finish_record_button,click,5024040460160711,2018-06-03 09:35:27
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:35:29
android,1.0.8,e59969de8b2bb95e,26,tr_home,click_synctranslate,click,5024040460089011,2018-06-03 09:35:30
android,1.0.8,e59969de8b2bb95e,26,tr_sync_translate,action_start_synctranslate,auto,5024040460089011,2018-06-03 09:35:30
android,1.0.8,e59969de8b2bb95e,26,tr_sync_translate,action_successed_synctranslate,auto,5024040460089011,2018-06-03 09:35:31
android,1.0.8,daaaa835de54b24e,25,tr_home,show_OTA_upgrade_tip,auto,5024040460160711,2018-06-03 09:35:32
android,1.0.8,daaaa835de54b24e,25,tr_home,show_OTA_upgrade_tip,auto,5024040460160711,2018-06-03 09:35:32
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:35:33
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:35:34
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:35:38
android,1.0.7,84cbea53fdf5a86d,26,tr_init,connection_successful,auto,,2018-06-03 09:35:37
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:35:40
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:35:42
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:35:43
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:35:45
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:35:46
android,1.0.8,daaaa835de54b24e,25,tr_home,click_translate_dialog,click,5024040460160711,2018-06-03 09:35:46
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:35:47
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:35:49
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:35:50
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:35:55
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:35:59
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:36:00
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:36:02
android,1.0.7,84cbea53fdf5a86d,26,tr_home,click_record_item,click,5024040460139501,2018-06-03 09:36:02
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:36:05
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:36:06
android,1.0.7,84cbea53fdf5a86d,26,tr_edit_shorthand,click_play_button,click,5024040460139501,2018-06-03 09:36:06
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:36:08
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:36:10
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,trapp_start_dialog_A,click,5024040460160711,2018-06-03 09:36:11
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:36:11
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:36:14
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:36:15
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,trapp_start_dialog_A,click,5024040460160711,2018-06-03 09:36:17
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_A,auto,5024040460154861,2018-06-03 09:36:17
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:36:19
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,action_created_dialog,auto,5024040460160711,2018-06-03 09:36:20
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:36:20
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:36:26
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,trapp_start_dialog_A,click,5024040460160711,2018-06-03 09:36:26
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:36:27
